"Facility Name",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"251 Wind","251 Wind",,,,,"Kern County, CA","18.43 MW",194,1987,Vestas,,"35.0861°, -118.3533°"
"3-D Metals","3-D Metals","Definition:Small Scale Wind",,,,"Valley City OH","0.1 MW",1,2009,"Northern Power Systems","In Service","41.2481°, -81.8831°"
"30 MW Iowa DG Portfolio","30 MW Iowa DG Portfolio",,,,,"Story County, IA","30 MW",10,2017,Nordex,,"42.0136°, -93.5181°"
"6th Space Warning Squadron","6th Space Warning Squadron",,,,,"Barnstable County, MA","3.36 MW",2,2013,"GE Wind",,"41.7525°, -70.5417°"
"AB Tehachapi Wind Farm","AB Tehachapi","Commercial Scale Wind","Coram Energy","AB Energy","Southern California Edison Co","Tehachapi, California","6.97 MW",31,1992,Vestas,"In Service","35.0533°, -118.2686°"
"AFCEE MMR Turbines","AFCEE MMR Turbines","Commercial Scale Wind",AFCEE,"Air Force Center for Engineering and the Environment","Distributed generation - net metered","Camp Edwards Sandwich MA","3 MW",2,2011,"GE Energy","In Service","41.7575°, -70.5456°"
"AG Land 1","AG Land 1","Community Wind","AG Land Energy LLC","AG Land Energy LLC","Alliant Energy","Story County IA","1.6 MW",1,2012,"GE Energy","In Service","42.1456°, -93.4322°"
"AG Land 2","AG Land 2","Community Wind","AG Land Energy LLC","AG Land Energy LLC","Alliant Energy","Story County IA","1.6 MW",1,2012,"GE Energy","In Service","41.9042°, -93.3550°"
"AG Land 3","AG Land 3","Community Wind","AG Land Energy LLC","AG Land Energy LLC","Alliant Energy","Story County IA","1.6 MW",1,2012,"GE Energy","In Service","42.1461°, -93.4281°"
"AG Land 4","AG Land 4","Community Wind","AG Land Energy LLC","AG Land Energy LLC","Alliant Energy","Story County IA","1.6 MW",1,2012,"GE Energy","In Service","42.2064°, -93.3258°"
"AG Land 5","AG Land 5","Community Wind","AG Land Energy LLC","Enervation LLC","Alliant Energy","Hamilton County IA","1.6 MW",1,2012,"GE Energy","In Service","42.3356°, -93.6369°"
"AG Land 6","AG Land 6","Community Wind","AG Land Energy LLC","Enervation LLC","Alliant Energy","Hamilton County IA","1.6 MW",1,2012,"GE Energy","In Service","42.3356°, -93.6322°"
"ARPA (Prower and Baca County) (Lamar)","ARPA (Prower and Baca County) (Lamar)",,,,,"Baca County, CO","3 MW",2,2004,"GE Wind",,"37.3622°, -102.6508°"
AVTEC,AVTEC,"Definition:Small Scale Wind",AVTEC,,AVTEC,"Seward AK","0.1 MW",1,2010,"Northern Power Systems","In Service","60.1264°, -149.4322°"
"Adair Wind Farm I",Adair,"Commercial Scale Wind","Shafer Systems","MidAmerican Energy","Alliant/IES Utilities",IA,"0.23 MW",1,1994,Vestas,"In Service","41.4992°, -94.6925°"
"Adair Wind Farm II",Adair,"Commercial Scale Wind","MidAmerican Energy","MidAmerican Energy","MidAmerican Energy",IA,"174.8 MW",230,2008,Siemens,"In Service","41.4992°, -94.6925°"
Adams,Adams,,,,,"Adams County, IA","144.9 MW",60,2016,Siemens,,"40.9167°, -94.7242°"
"Adams Wind Project","Adams Wind Project","Commercial Scale Wind",,"Juhl Wind",,"Meeker County MN","19.8 MW",12,2011,Alstom,"In Service","43.6806°, -92.7011°"
"Aegir II","Aegir II","Offshore Wind",,,,"Lake Michigan MI","500 MW",100,,,Decommissioned,"43.0981°, -86.5969°"
"Aero Turbine","Aero Turbine","Commercial Scale Wind","AeroTurbine Energy Company",,,"Riverside County CA","5 MW",39,1989,,"In Service","33.7436°, -115.9925°"
"Aeroman Repower Wind Farm","Aeroman repower (2003)","Commercial Scale Wind","Coram Energy","Coram Energy","Southern California Edison Co","Tehachapi, California","3 MW",2,2003,"GE Energy","In Service","35.0450°, -118.2781°"
"Affinity Wind Farm",Affinity,"Commercial Scale Wind","Affinity Wind LLC","Affinity Wind LLC",,"Pittsfield, Illinois","150 MW",75,2012,"Suzlon Energy Company","Under Construction","39.6067°, -90.9864°"
"Agassiz Beach Wind Farm","Agassiz Beach","Commercial Scale Wind","NAE/Enel North America","Northern Alternative Energy","Xcel Energy","Clay County MN","1.98 MW",3,2001,Vestas,"In Service","46.8844°, -96.5042°"
"Agriwind Wind Farm",Agriwind,"Commercial Scale Wind","John Deere Wind","John Deere Wind","Wabash Valley Power Association",IL,"8.4 MW",4,2008,"Suzlon Energy Company","In Service","41.2519°, -89.5794°"
"Ainsworth Wind Energy Facility","Ainsworth Wind Energy Facility","Commercial Scale Wind","Nebraska Public Power District and consortium of public utilities","Nebraska Public Power District and consortium of public utilities","Nebraska Public Power District and consortium of public utilities","Ainsworth NE","59.4 MW",36,2005,Vestas,"In Service","42.4600°, -99.8761°"
